Key,Visibility,Owner,Notes
ContactEdge,internal,standing-shader,Hidden contact edge shaping define.
ContactWakeDirectional,internal,standing-shader,Hidden directional wake shaping define.
DepthAbsorption,internal,standing-shader,Hidden depth absorption shaping define.
DepthStrength,internal,standing-shader,Legacy depth response define kept as code default.
EdgeWaveStrength,internal,standing-shader,Hidden edge wave shaping define.
MicroRippleStrength,internal,standing-shader,Hidden micro ripple shaping define.
RainRippleStrength,internal,standing-shader,Hidden rain ripple shaping define.
ShorelineStrength,internal,standing-shader,Legacy shoreline response define kept as code default.
StandingMicroTrembleStrength,internal,standing-shader,Legacy standing tremble define kept as code default.
SwellStrength,internal,standing-shader,Hidden broad swell shaping define.
WakeLength,internal,standing-shader,Hidden wake length shaping define.
WakeStrength,internal,standing-shader,Hidden wake strength shaping define.
WakeWaveStrength,internal,standing-shader,Hidden wake wave shaping define.
WakeWidth,internal,standing-shader,Hidden wake width shaping define.
WaterVolumeStrength,internal,standing-shader,Legacy volume water response define kept as code default.
WetEdgeStrength,internal,standing-shader,Hidden wet edge shaping define.
FlowAerationStrength,internal,flow-shader,Hidden FlowLite aeration shaping define.
FlowContactDistortion,internal,flow-shader,Hidden FlowLite contact distortion define.
FlowCrossWaveStrength,internal,flow-shader,Hidden FlowLite cross wave shaping define.
FlowDepthBodyStrength,internal,flow-shader,Hidden FlowLite depth body shaping define.
FlowEddyFoamStrength,internal,flow-shader,Hidden FlowLite eddy foam shaping define.
FlowEdgeFoamStrength,internal,flow-shader,Hidden FlowLite edge foam shaping define.
FlowLaneStrength,internal,flow-shader,Hidden FlowLite lane shaping define.
FlowRibbonStrength,internal,flow-shader,Hidden FlowLite ribbon shaping define.
FlowSingleLayer,internal,flow-shader,Hidden FlowLite layer experiment toggle.
FlowSwirlStrength,internal,flow-shader,Hidden FlowLite swirl shaping define.
FlowVolumeWaveScale,internal,flow-shader,Hidden FlowLite volume wave scale define.
FlowVolumeWaveStrength,internal,flow-shader,Hidden FlowLite volume wave shaping define.
FlowWaveStrength,internal,flow-shader,Hidden FlowLite wave shaping define.
WaterUnderlayPattern,internal,capture-shader,Hidden underlay pattern experiment toggle.
WaterUnderlayPatternFlow,internal,capture-shader,Hidden FlowLite underlay pattern toggle.
WaterUnderlayPatternStrength,internal,capture-shader,Hidden underlay pattern strength define.
RefreshFlowTextureSignatures,internal,diagnostics,Hidden support switch for flow texture signature refresh.
RippleSpriteCenterMode,internal,ripple-diagnostics,Hidden ripple sprite center diagnostic mode.
RippleSpriteMinCount,internal,ripple-diagnostics,Hidden ripple sprite minimum count diagnostic.
WetLaraClothDarkening,internal,wet-lara-lab,Hidden Wet Lara material darkening tuning.
WetLaraContactFallback,internal,wet-lara-lab,Hidden Wet Lara fallback contact detector toggle.
WetLaraContactFallbackMinSpeed,internal,wet-lara-lab,Hidden Wet Lara fallback speed threshold.
WetLaraContactFallbackRadius,internal,wet-lara-lab,Hidden Wet Lara fallback radius.
WetLaraContactFallbackVertical,internal,wet-lara-lab,Hidden Wet Lara fallback vertical radius.
WetLaraDepthBias,internal,wet-lara-lab,Hidden Wet Lara overlay depth bias.
WetLaraDripIntervalFrames,internal,wet-lara-lab,Hidden Wet Lara drip interval.
WetLaraDripRippleRadius,internal,wet-lara-lab,Hidden Wet Lara drip ripple radius.
WetLaraDripRippleStrength,internal,wet-lara-lab,Hidden Wet Lara drip ripple strength.
WetLaraDropletStrength,internal,wet-lara-lab,Hidden Wet Lara droplet strength.
